market;date;
Euronext 100;21/10/2019;1092,630005
Euronext 100;22/10/2019;1092,890015
Euronext 100;23/10/2019;1091,51001
Euronext 100;24/10/2019;1098,930054
Euronext 100;25/10/2019;1098,97998
Euronext 100;28/10/2019;1099,329956
Euronext 100;29/10/2019;1099,359985
Euronext 100;30/10/2019;1104,73999
Euronext 100;31/10/2019;1097,890015
Euronext 100;01/11/2019;1103,73999
Euronext 100;04/11/2019;1114
Euronext 100;05/11/2019;1119,25
Euronext 100;06/11/2019;1123,439941
Euronext 100;07/11/2019;1127,130005
Euronext 100;08/11/2019;1125,959961
Euronext 100;11/11/2019;1126,22998
Euronext 100;12/11/2019;1131,069946
Euronext 100;13/11/2019;1128,890015
Euronext 100;14/11/2019;1127,219971
Euronext 100;15/11/2019;1134,030029
Euronext 100;18/11/2019;1133,439941
Euronext 100;19/11/2019;1129,079956
Euronext 100;20/11/2019;1125,51001
Euronext 100;21/11/2019;1120,959961
Euronext 100;22/11/2019;1124,199951
Euronext 100;25/11/2019;1131,030029
Euronext 100;26/11/2019;1133,310059
Euronext 100;27/11/2019;1133,689941
Euronext 100;28/11/2019;1131,23999
Euronext 100;29/11/2019;1129,969971
Euronext 100;02/12/2019;1110,430054
Euronext 100;03/12/2019;1100,839966
Euronext 100;04/12/2019;1113,849976
Euronext 100;05/12/2019;1113,650024
Euronext 100;06/12/2019;1127,98999
Euronext 100;09/12/2019;1123,280029
Euronext 100;10/12/2019;1122,430054
Euronext 100;11/12/2019;1123,189941
Euronext 100;12/12/2019;1125,869995
Euronext 100;13/12/2019;1132,439941
Euronext 100;16/12/2019;1146,339966
Euronext 100;17/12/2019;1140,880005
Euronext 100;18/12/2019;1140,280029
Euronext 100;19/12/2019;1142,949951
Euronext 100;20/12/2019;1152,579956
Euronext 100;23/12/2019;1153,810059
Euronext 100;24/12/2019;1154,290039
Euronext 100;25/12/2019;
Euronext 100;26/12/2019;
Euronext 100;27/12/2019;1156,609985
Euronext 100;30/12/2019;1146,560059
Euronext 100;31/12/2019;1144,390015
Euronext 100;02/01/2020;1158,26001
Euronext 100;03/01/2020;1157,380005
Euronext 100;06/01/2020;1151,810059
Euronext 100;07/01/2020;1153,089966
Euronext 100;08/01/2020;1155,380005
Euronext 100;09/01/2020;1158,670044
Euronext 100;10/01/2020;1157,329956
Euronext 100;13/01/2020;1155,859985
Euronext 100;14/01/2020;1157,630005
Euronext 100;15/01/2020;1157,869995
Euronext 100;16/01/2020;1159,199951
Euronext 100;17/01/2020;1170,060059
Euronext 100;20/01/2020;1166,930054
Euronext 100;21/01/2020;1161,329956
Euronext 100;22/01/2020;1158,030029
Euronext 100;23/01/2020;1149,050049
Euronext 100;24/01/2020;1160,410034
Euronext 100;27/01/2020;1131,52002
Euronext 100;28/01/2020;1142,430054
Euronext 100;29/01/2020;1146,550049
Euronext 100;30/01/2020;1132,349976
Euronext 100;31/01/2020;1120,22998
Euronext 100;03/02/2020;1125,579956
Euronext 100;04/02/2020;1144,72998
Euronext 100;05/02/2020;1156,319946
Euronext 100;06/02/2020;1164,680054
Euronext 100;07/02/2020;1161,089966
Euronext 100;10/02/2020;1159,839966
Euronext 100;11/02/2020;1167,969971
Euronext 100;12/02/2020;1177,670044
Euronext 100;13/02/2020;1176,130005
Euronext 100;14/02/2020;1174,349976
Euronext 100;17/02/2020;1176,459961
Euronext 100;18/02/2020;1172,72998
Euronext 100;19/02/2020;1182,099976
Euronext 100;20/02/2020;1171,089966
Euronext 100;21/02/2020;1164,170044
Euronext 100;24/02/2020;1120,449951
Euronext 100;25/02/2020;1099,27002
Euronext 100;26/02/2020;1099,410034
Euronext 100;27/02/2020;1059,359985
Euronext 100;28/02/2020;1021,97998
Euronext 100;02/03/2020;1027,680054
Euronext 100;03/03/2020;1039,949951
Euronext 100;04/03/2020;1053,72998
Euronext 100;05/03/2020;1036,079956
Euronext 100;06/03/2020;994,77002
Euronext 100;09/03/2020;914,320007
Euronext 100;10/03/2020;901,5
Euronext 100;11/03/2020;896,159973
Euronext 100;12/03/2020;788,869995
Euronext 100;13/03/2020;800,75
Euronext 100;16/03/2020;755,080017
Euronext 100;17/03/2020;772,340027
Euronext 100;18/03/2020;733,929993
Euronext 100;19/03/2020;756,950012
Euronext 100;20/03/2020;792,159973
Euronext 100;23/03/2020;766,630005
Euronext 100;24/03/2020;829,309998
Euronext 100;25/03/2020;861,02002
Euronext 100;26/03/2020;881,909973
Euronext 100;27/03/2020;843,390015
Euronext 100;30/03/2020;850,890015
Euronext 100;31/03/2020;858,109985
Euronext 100;01/04/2020;827,859985
Euronext 100;02/04/2020;832,840027
Euronext 100;03/04/2020;819,97998
Euronext 100;06/04/2020;854,820007
Euronext 100;07/04/2020;872,619995
Euronext 100;08/04/2020;874,390015
Euronext 100;09/04/2020;887,869995
Euronext 100;10/04/2020;
Euronext 100;13/04/2020;
Euronext 100;14/04/2020;888,890015
Euronext 100;15/04/2020;857,039978
Euronext 100;16/04/2020;857,710022
Euronext 100;17/04/2020;883,280029
Euronext 100;20/04/2020;889,150024
Euronext 100;21/04/2020;858,01001
Euronext 100;22/04/2020;870,799988
Euronext 100;23/04/2020;877,909973
Euronext 100;24/04/2020;865,799988
Euronext 100;27/04/2020;886,070007
Euronext 100;28/04/2020;900,849976
Euronext 100;29/04/2020;919,98999
Euronext 100;30/04/2020;899,869995
Euronext 100;01/05/2020;
Euronext 100;04/05/2020;863,559998
Euronext 100;05/05/2020;882,25
Euronext 100;06/05/2020;875,01001
Euronext 100;07/05/2020;889,75
Euronext 100;08/05/2020;900,369995
Euronext 100;11/05/2020;895,570007
Euronext 100;12/05/2020;893,340027
Euronext 100;13/05/2020;874,289978
Euronext 100;14/05/2020;856,159973
Euronext 100;15/05/2020;858,52002
Euronext 100;18/05/2020;896,619995
Euronext 100;19/05/2020;890,140015
Euronext 100;20/05/2020;902,289978
Euronext 100;21/05/2020;890,859985
Euronext 100;22/05/2020;890,869995
Euronext 100;25/05/2020;907,890015
Euronext 100;26/05/2020;919,369995
Euronext 100;27/05/2020;927,23999
Euronext 100;28/05/2020;943,02002
Euronext 100;29/05/2020;930,25
Euronext 100;01/06/2020;943,47998
Euronext 100;02/06/2020;958,969971
Euronext 100;03/06/2020;988,159973
Euronext 100;04/06/2020;986,659973
Euronext 100;05/06/2020;1014,73999
Euronext 100;08/06/2020;1007,549988
Euronext 100;09/06/2020;995,210022
Euronext 100;10/06/2020;989,210022
Euronext 100;11/06/2020;947,72998
Euronext 100;12/06/2020;953,390015
Euronext 100;15/06/2020;948,840027
Euronext 100;16/06/2020;977,450012
Euronext 100;17/06/2020;985,619995
Euronext 100;18/06/2020;980,969971
Euronext 100;19/06/2020;985,419983
Euronext 100;22/06/2020;979,669983
Euronext 100;23/06/2020;993,849976
Euronext 100;24/06/2020;965
